X,date,county,state,fips,cases,deaths
443,2020-03-02,Fulton,Georgia,13121,0,0
477,2020-03-03,Fulton,Georgia,13121,1,0
512,2020-03-04,Fulton,Georgia,13121,2,0
554,2020-03-05,Fulton,Georgia,13121,2,0
610,2020-03-06,Fulton,Georgia,13121,3,0
693,2020-03-07,Fulton,Georgia,13121,3,0
790,2020-03-08,Fulton,Georgia,13121,4,0
910,2020-03-09,Fulton,Georgia,13121,5,0
1051,2020-03-10,Fulton,Georgia,13121,7,0
1223,2020-03-11,Fulton,Georgia,13121,9,0
1437,2020-03-12,Fulton,Georgia,13121,13,0
1705,2020-03-13,Fulton,Georgia,13121,18,0
2028,2020-03-14,Fulton,Georgia,13121,24,0
2415,2020-03-15,Fulton,Georgia,13121,31,0
2853,2020-03-16,Fulton,Georgia,13121,38,0
3338,2020-03-17,Fulton,Georgia,13121,49,0
3899,2020-03-18,Fulton,Georgia,13121,62,1
4571,2020-03-19,Fulton,Georgia,13121,76,1
5355,2020-03-20,Fulton,Georgia,13121,92,1
6288,2020-03-21,Fulton,Georgia,13121,116,2
7334,2020-03-22,Fulton,Georgia,13121,142,3
8482,2020-03-23,Fulton,Georgia,13121,170,4
9734,2020-03-24,Fulton,Georgia,13121,204,5
11108,2020-03-25,Fulton,Georgia,13121,243,6
12656,2020-03-26,Fulton,Georgia,13121,284,8
14330,2020-03-27,Fulton,Georgia,13121,330,9
16118,2020-03-28,Fulton,Georgia,13121,388,11
18016,2020-03-29,Fulton,Georgia,13121,449,12
20007,2020-03-30,Fulton,Georgia,13121,507,14
22087,2020-03-31,Fulton,Georgia,13121,569,16
24250,2020-04-01,Fulton,Georgia,13121,639,19
26475,2020-04-02,Fulton,Georgia,13121,712,21
28773,2020-04-03,Fulton,Georgia,13121,783,24
31131,2020-04-04,Fulton,Georgia,13121,857,27
33538,2020-04-05,Fulton,Georgia,13121,930,29
35985,2020-04-06,Fulton,Georgia,13121,1001,32
38472,2020-04-07,Fulton,Georgia,13121,1075,34
41011,2020-04-08,Fulton,Georgia,13121,1159,37
43577,2020-04-09,Fulton,Georgia,13121,1241,40
46174,2020-04-10,Fulton,Georgia,13121,1315,43
48801,2020-04-11,Fulton,Georgia,13121,1392,46
51460,2020-04-12,Fulton,Georgia,13121,1470,50
54137,2020-04-13,Fulton,Georgia,13121,1547,53
56826,2020-04-14,Fulton,Georgia,13121,1620,56
59529,2020-04-15,Fulton,Georgia,13121,1687,58
62249,2020-04-16,Fulton,Georgia,13121,1753,61
64981,2020-04-17,Fulton,Georgia,13121,1826,64
67728,2020-04-18,Fulton,Georgia,13121,1901,67
70487,2020-04-19,Fulton,Georgia,13121,1976,70
73254,2020-04-20,Fulton,Georgia,13121,2041,73
76027,2020-04-21,Fulton,Georgia,13121,2103,76
78807,2020-04-22,Fulton,Georgia,13121,2164,79
81599,2020-04-23,Fulton,Georgia,13121,2224,83
84397,2020-04-24,Fulton,Georgia,13121,2280,86
87203,2020-04-25,Fulton,Georgia,13121,2338,89
90016,2020-04-26,Fulton,Georgia,13121,2395,92
92833,2020-04-27,Fulton,Georgia,13121,2451,96
95662,2020-04-28,Fulton,Georgia,13121,2512,99
98503,2020-04-29,Fulton,Georgia,13121,2577,102
101349,2020-04-30,Fulton,Georgia,13121,2635,105
104200,2020-05-01,Fulton,Georgia,13121,2689,109
107061,2020-05-02,Fulton,Georgia,13121,2744,113
109926,2020-05-03,Fulton,Georgia,13121,2804,116
112796,2020-05-04,Fulton,Georgia,13121,2863,119
115674,2020-05-05,Fulton,Georgia,13121,2918,122
118555,2020-05-06,Fulton,Georgia,13121,2976,124
121447,2020-05-07,Fulton,Georgia,13121,3032,126
124349,2020-05-08,Fulton,Georgia,13121,3086,129
127256,2020-05-09,Fulton,Georgia,13121,3141,132
130168,2020-05-10,Fulton,Georgia,13121,3196,135
133079,2020-05-11,Fulton,Georgia,13121,3246,138
135989,2020-05-12,Fulton,Georgia,13121,3288,141
138901,2020-05-13,Fulton,Georgia,13121,3327,143
141819,2020-05-14,Fulton,Georgia,13121,3365,146
144740,2020-05-15,Fulton,Georgia,13121,3405,149
147664,2020-05-16,Fulton,Georgia,13121,3444,153
150593,2020-05-17,Fulton,Georgia,13121,3477,157
153524,2020-05-18,Fulton,Georgia,13121,3515,160
156460,2020-05-19,Fulton,Georgia,13121,3550,164
159406,2020-05-20,Fulton,Georgia,13121,3594,168
162356,2020-05-21,Fulton,Georgia,13121,3643,172
165310,2020-05-22,Fulton,Georgia,13121,3690,176
168268,2020-05-23,Fulton,Georgia,13121,3743,181
171231,2020-05-24,Fulton,Georgia,13121,3797,185
174195,2020-05-25,Fulton,Georgia,13121,3852,190
177161,2020-05-26,Fulton,Georgia,13121,3911,195
180127,2020-05-27,Fulton,Georgia,13121,3971,200
183102,2020-05-28,Fulton,Georgia,13121,4030,204
186079,2020-05-29,Fulton,Georgia,13121,4086,207
189063,2020-05-30,Fulton,Georgia,13121,4144,211
192048,2020-05-31,Fulton,Georgia,13121,4199,215
